id,parola_target,parola_vietata1,parola_vietata2,parola_vietata3,parola_vietata4,parola_vietata5
30,CRINGIATA,VERGOGNA,DISAGIO,IMBARAZZO,BRUTTO,SCENA
31,PIZZA,MARGHERITA,NAPOLI,FORMAGGIO,FORNO,POMODORO
32,SMARTPHONE,TELEFONO,CHIAMARE,APP,SCHERMO,TOUCH
33,CALCIO,PALLONE,SQUADRA,GOAL,CAMPO,GIOCATORE
34,GELATO,FREDDO,CONO,ESTATE,GUSTO,CREMA
35,PALESTRA,ALLENAMENTO,PESI,FITNESS,MUSCOLI,SUDORE
36,TRENO,STAZIONE,BINARIO,VIAGGIO,ROTAIE,VAGONE
37,CINEMA,FILM,SCHERMO,BIGLIETTO,SALA,PROIEZIONE
38,CAFFÈ,ESPRESSO,TAZZINA,MATTINA,AMARO,SVEGLIA
39,UNIVERSITÀ,LAUREA,STUDENTI,ESAMI,PROFESSORE,FACOLTÀ
40,MUSICA,CANZONI,SUONO,ASCOLTARE,MELODIA,RITMO
41,VACANZA,ESTATE,MARE,RELAX,VIAGGIO,HOTEL
42,COMPUTER,TASTIERA,MOUSE,SCHERMO,INTERNET,PROGRAMMA
43,BICICLETTA,PEDALARE,RUOTA,CATENA,MANUBRIO,VELOCITÀ
44,MONTAGNA,SCALARE,ALTEZZA,NEVE,PICCO,ESCURSIONE
45,LIBRO,PAGINE,LEGGERE,AUTORE,STORIA,COPERTINA
46,CUCINARE,RICETTA,FORNELLI,INGREDIENTI,PENTOLA,CHEF
47,FOTOGRAFIA,SCATTARE,IMMAGINE,CAMERA,OBIETTIVO,RICORDO
48,GATTO,MIAGOLARE,PELO,ZAMPE,CODA,ANIMALE
49,AMICIZIA,LEGAME,AFFETTO,FIDUCIA,PERSONA,RELAZIONE
50,DORMIRE,LETTO,NOTTE,SOGNO,RIPOSO,SVEGLIA
51,VIAGGIO,DESTINAZIONE,VALIGIA,PARTENZA,TURISTA,ESPLORARE
52,COMPLEANNO,FESTA,REGALO,TORTA,CANDELINE,AUGURI
53,AMORE,SENTIMENTO,CUORE,COPPIA,RELAZIONE,PASSIONE
54,LAVORO,UFFICIO,CARRIERA,STIPENDIO,IMPIEGO,COLLEGA
55,FAMIGLIA,GENITORI,FIGLI,CASA,LEGAME,PARENTI
56,SUPERMERCATO,SPESA,CARRELLO,PRODOTTI,CASSA,CIBO
57,AUTO,GUIDARE,STRADA,VOLANTE,MOTORE,VIAGGIO
58,GIARDINO,PIANTE,FIORI,VERDE,COLTIVARE,NATURA
59,NUOTARE,ACQUA,PISCINA,MARE,BRACCIATA,BAGNATO
60,RISTORANTE,MANGIARE,CAMERIERE,MENU,TAVOLO,CENA
61,AEREO,VOLARE,PILOTA,VIAGGIO,CIELO,ATTERRAGGIO
62,MEDICO,OSPEDALE,SALUTE,CURA,MALATTIA,PAZIENTE
63,TEMPO,OROLOGIO,ORA,MINUTI,PASSARE,ATTESA
64,SPIAGGIA,MARE,SABBIA,ESTATE,OMBRELLONE,SOLE
65,PARCO,NATURA,ALBERI,PASSEGGIATA,PANCHINA,VERDE
66,DANZA,BALLARE,MUSICA,MOVIMENTO,RITMO,COREOGRAFIA
67,CASA,ABITAZIONE,STANZE,VIVERE,FAMIGLIA,TETTO
68,TELEFONO,CHIAMARE,PARLARE,NUMERO,CELLULARE,COMUNICARE
69,CANE,ABBAIARE,ZAMPE,FEDELE,GUINZAGLIO,CUCCIOLO
70,ARTE,DIPINTO,MUSEO,ARTISTA,OPERA,CREATIVITÀ
71,MARE,ACQUA,SPIAGGIA,ONDE,NUOTARE,SALATO
72,SOLE,CALDO,LUCE,ESTATE,RAGGI,CIELO
73,LUNA,NOTTE,CIELO,STELLA,SATELLITE,FASE
74,VINO,ROSSO,BIANCO,UVA,BOTTIGLIA,ALCOL
75,FILM,CINEMA,ATTORI,REGISTA,TRAMA,SCENA
76,PIOGGIA,ACQUA,CIELO,GOCCE,OMBRELLO,TEMPORALE
77,NUVOLE,CIELO,BIANCHE,TEMPO,PIOGGIA,FORMA
78,SCUOLA,INSEGNANTE,STUDENTI,LEZIONI,COMPITI,CLASSE
79,TELEVISIONE,SCHERMO,PROGRAMMI,GUARDARE,CANALE,TELECOMANDO
80,NEVE,FREDDO,BIANCA,INVERNO,FIOCCHI,SCIARE
81,FORESTA,ALBERI,VERDE,NATURA,BOSCO,ANIMALI
82,CITTÀ,EDIFICI,STRADE,TRAFFICO,METROPOLITANA,ABITANTI
83,TEATRO,SPETTACOLO,PALCOSCENICO,ATTORI,PUBBLICO,SIPARIO
84,TORTA,DOLCE,COMPLEANNO,FORNO,FETTA,ZUCCHERO
85,TRUCCATI,MAKEUP,ROSSETTO,FONDOTINTA,OCCHI,VISO
86,PROFUMO,FRAGRANZA,ODORE,SPRUZZARE,ESSENZA,BOTTIGLIA
87,GIORNALE,NOTIZIE,LEGGERE,QUOTIDIANO,ARTICOLI,INFORMAZIONE
88,CONCERTO,MUSICA,PALCO,ARTISTA,PUBBLICO,CANTARE
89,CARTONE,ANIMATO,BAMBINI,DISEGNO,PERSONAGGI,DISNEY
90,MATRIMONIO,SPOSI,CERIMONIA,ANELLO,ABITO,CHIESA
91,ZUCCHERO,DOLCE,BIANCO,CAFFÈ,TÈ,CUCCHIAINO
92,PASTA,ITALIANA,SPAGHETTI,SUGO,CUOCERE,PIATTO
93,SIGARETTA,FUMARE,TABACCO,ACCENDINO,FILTRO,NICOTINA
94,DIVANO,SEDERE,SALOTTO,RELAX,CUSCINI,COMODO
95,SCARPE,PIEDI,CAMMINARE,CALZATURE,STRINGHE,SUOLA
96,FORBICI,TAGLIARE,CARTA,LAME,METALLO,PUNTA
97,CHIAVE,PORTA,SERRATURA,APRIRE,METALLO,CASA
98,CAMICIA,ABBIGLIAMENTO,BOTTONI,COLLETTO,STIRARE,MANICHE
99,OROLOGIO,TEMPO,ORA,POLSO,LANCETTE,QUADRANTE
100,BOTTIGLIA,VETRO,LIQUIDO,ACQUA,TAPPO,VERSARE
101,OCCHIALI,VISTA,LENTI,MONTATURA,LEGGERE,VEDERE
102,TAVOLO,SEDIA,MANGIARE,LEGNO,MOBILE,CUCINA
103,FINESTRA,VETRO,VISTA,LUCE,APRIRE,TENDA
104,PORTA,APRIRE,CHIUDERE,STANZA,MANIGLIA,ENTRARE
105,ORECCHINI,GIOIELLI,LOBO,INDOSSARE,BRILLANTI,PENDENTI
106,CIOCCOLATO,DOLCE,CACAO,TAVOLETTA,FONDENTE,LATTE
107,LATTE,MUCCA,BIANCO,BERE,COLAZIONE,CALCIO
108,PISTOLA,ARMA,SPARARE,PROIETTILE,PERICOLO,GRILLETTO
109,MOTOCICLETTA,MOTO,RUOTE,CASCO,VELOCITÀ,GUIDARE
110,ANELLO,DITO,ORO,FIDANZAMENTO,GIOIELLO,MATRIMONIO
111,LAMPADINA,LUCE,ACCENDERE,ELETTRICITÀ,ILLUMINARE,EDISON
112,MATITA,SCRIVERE,DISEGNARE,LEGNO,PUNTA,GOMMA
113,FOGLIA,ALBERO,VERDE,PIANTA,AUTUNNO,CADERE
114,SORRISO,FELICITÀ,BOCCA,DENTI,ALLEGRIA,LABBRA
115,OMBRELLO,PIOGGIA,APRIRE,RIPARARE,PIEGARE,MANICO
116,AGO,CUCIRE,FILO,PUNTA,SOTTILE,METALLO
117,NASO,FACCIA,ODORE,RESPIRARE,SENTIRE,OLFATTO
118,PANTALONI,JEANS,GAMBA,INDOSSARE,CINTURA,ABBIGLIAMENTO
119,ANATRA,UCCELLO,ACQUA,STAGNO,BECCO,QUACK
120,OMBRA,SCURO,LUCE,SILHOUETTE,SOLE,PROIEZIONE
121,BANDIERA,NAZIONE,COLORI,SIMBOLO,SVENTOLARE,ASTA
122,SPAZZOLINO,DENTI,LAVARE,IGIENE,BOCCA,PASTA
123,PENNA,SCRIVERE,INCHIOSTRO,FOGLIO,BIRO,FIRMA
124,SEDIA,SEDERE,GAMBE,SCHIENALE,MOBILE,TAVOLO
125,AEROPORTO,VOLI,PARTENZA,ARRIVO,PASSEGGERI,TERMINAL
126,BANCA,SOLDI,CONTO,SPORTELLO,CASSIERE,PRESTITO
127,STELLA,CIELO,NOTTE,LUCENTE,SPAZIO,PUNTINO
128,PARRUCCHIERE,CAPELLI,TAGLIO,FORBICI,PETTINE,ACCONCIATURA
129,UFFICIO,LAVORO,SCRIVANIA,COMPUTER,COLLEGHI,RIUNIONE
130,LETTO,DORMIRE,MATERASSO,CUSCINO,NOTTE,RIPOSO
131,BIBITA,BEVANDA,BOTTIGLIA,GASSATA,SETE,FREDDA
132,BIGLIETTO,TRENO,PAGARE,VIAGGIO,VALIDARE,TRASPORTO
133,CUSCINO,LETTO,MORBIDO,DORMIRE,APPOGGIARE,TESTA
134,PORTAFOGLIO,SOLDI,TASCA,CARTE,CONTANTI,DOCUMENTI
135,TRUCCO,VISO,MAKEUP,ROSSETTO,BELLEZZA,COSMETICI
136,TAMBURO,BATTERIA,SUONARE,PERCUSSIONE,RITMO,BACCHETTE
137,TENNIS,RACCHETTA,PALLINA,CAMPO,RETE,SPORT
138,CALENDARIO,GIORNI,MESI,ANNO,DATA,APPUNTAMENTI
139,DENTISTA,DENTI,STUDIO,CARIE,CONTROLLO,PAURA
140,ZAINO,SPALLE,SCUOLA,VIAGGIO,BORSA,TRASPORTARE
141,GIRAFFA,COLLO,LUNGO,AFRICA,ANIMALE,MACCHIE
142,PIANETA,TERRA,SPAZIO,ORBITA,SISTEMA,SOLARE
143,PISCINA,NUOTARE,ACQUA,ESTATE,TUFFO,BAGNINO
144,CASSETTO,MOBILE,APRIRE,CONSERVARE,TIRARE,CHIUDERE
145,FOGLIO,CARTA,SCRIVERE,BIANCO,QUADERNO,STAMPANTE
146,LAVATRICE,VESTITI,LAVARE,BUCATO,DETERSIVO,ELETTRODOMESTICO
147,SCOPA,PULIRE,PAVIMENTO,MANICO,POLVERE,SPAZZARE
148,DIAMANTE,GIOIELLO,BRILLANTE,PREZIOSO,ANELLO,CARATI
149,SCALA,SALIRE,SCENDERE,GRADINI,ALTEZZA,VERTICALE
150,CANDELA,CERA,FIAMMA,BUIO,LUCE,PROFUMATA
151,TASTIERA,COMPUTER,SCRIVERE,TASTI,DIGITARE,DITA
152,CAPPOTTO,INVERNO,FREDDO,GIACCA,BOTTONI,COPRIRE
153,CAROTA,VERDURA,ARANCIONE,CONIGLIO,ORTAGGIO,VITAMINA
154,CRAVATTA,CAMICIA,COLLO,ELEGANTE,NODO,FORMALE
155,LENTIGGINI,VISO,MACCHIOLINE,SOLE,PELLE,ROSSE
156,CACCIAVITE,AVVITARE,VITE,STRUMENTO,PUNTA,MANICO
157,FRIGORIFERO,FREDDO,CIBO,CUCINA,CONSERVARE,ELETTRODOMESTICO
158,QUADRO,DIPINTO,CORNICE,PARETE,ARTE,MUSEO
159,TATUAGGIO,PELLE,DISEGNO,PERMANENTE,AGO,INCHIOSTRO
160,SPAZIO,UNIVERSO,PIANETI,STELLE,VUOTO,ASTRONOMIA
161,DENTIFRICIO,DENTI,LAVARE,PASTA,TUBO,SPAZZOLINO
162,CETRIOLO,VERDURA,INSALATA,VERDE,LUNGO,ORTAGGIO
163,FRULLATO,BEVANDA,FRUTTA,MIXER,YOGURT,SMOOTHIE
164,FARFALLA,INSETTO,VOLARE,ALI,COLORATA,BRUCO
165,MICROFONO,VOCE,CANTARE,PARLARE,AUDIO,REGISTRARE
166,CEROTTO,FERITA,COPRIRE,ADESIVO,MEDICAZIONE,PICCOLO
167,MAGLIETTA,INDOSSARE,COTONE,ABBIGLIAMENTO,MANICHE,TSHIRT
168,FORCHETTA,MANGIARE,POSATA,PUNTE,TAVOLA,CUCINA
169,OCCHIO,VEDERE,VISO,PUPILLA,IRIDE,VISTA
170,POLIZIA,AGENTE,LEGGE,UNIFORME,SIRENA,ORDINE
171,GIOCATTOLO,BAMBINO,GIOCARE,DIVERTIMENTO,PLASTICA,REGALO
172,VIGILE,TRAFFICO,STRADA,MULTA,FISCHIETTO,COMUNE
173,MAPPA,STRADA,DIREZIONE,ORIENTAMENTO,GEOGRAFIA,CARTINA
174,ARCOBALENO,COLORI,PIOGGIA,SOLE,CIELO,FENOMENO
175,MASCHERA,VISO,COPRIRE,CARNEVALE,TRAVESTIMENTO,NASCONDERE
176,RUOTA,GIRARE,CERCHIO,AUTO,BICICLETTA,ASSE
177,SALVADANAIO,SOLDI,RISPARMIARE,MAIALINO,MONETE,ROMPERE
178,VALIGIA,VIAGGIO,VESTITI,VACANZA,BAGAGLIO,MANIGLIA
179,ROSSETTO,LABBRA,TRUCCO,COLORE,MAKEUP,DONNA
180,CACCIATORE,FUCILE,BOSCO,ANIMALI,SELVAGGINA,MIRA
181,SERPENTE,RETTILE,STRISCIARE,VELENO,SQUAME,LINGUA
182,MANETTE,POLIZIA,ARRESTO,POLSI,METALLO,CRIMINALE
183,RAZZO,SPAZIO,LANCIARE,ASTRONAUTA,NAVICELLA,VOLARE
184,MONGOLFIERA,VOLARE,ARIA,CESTO,PALLONE,CIELO
185,PETTINE,CAPELLI,ACCONCIATURA,DENTI,PARRUCCHIERE,SPAZZOLA
186,ZUPPA,CALDA,CUCCHIAIO,BRODO,MINESTRA,CUCINARE
187,RADIO,ASCOLTARE,MUSICA,FREQUENZA,ANTENNA,TRASMISSIONE
188,ALBERO,FOGLIE,TRONCO,RAMI,BOSCO,NATURA
189,CIPOLLA,VERDURA,PIANGERE,TAGLIARE,STRATI,CUCINA
190,PELUCHE,MORBIDO,BAMBINI,GIOCATTOLO,ORSACCHIOTTO,STOFFA
191,AQUILONE,VOLARE,VENTO,FILO,CIELO,COLORATO
192,BARBA,VISO,UOMO,RASARE,PELI,CRESCERE
193,MIELE,API,DOLCE,ALVEARE,COLAZIONE,GIALLO
194,CAMPANA,SUONARE,CHIESA,METALLO,RINTOCCO,CAMPANILE
195,BORSA,TRASPORTARE,DONNA,ACCESSORIO,SPALLA,CONTENERE
196,CANDELA,LUCE,FIAMMA,CERA,ACCENDERE,ROMANTICO
197,GABBIA,SBARRE,ANIMALE,RINCHIUDERE,PRIGIONE,UCCELLO
198,SIRENA,EMERGENZA,AMBULANZA,POLIZIA,SUONO,ALLARME
199,PRATO,ERBA,VERDE,CAMPO,FIORI,NATURA
200,RUCOLA,INSALATA,VERDE,AMARA,FOGLIE,VERDURA
201,INFRADITO,ESTATE,PIEDI,MARE,SPIAGGIA,CIABATTE
202,GHIACCIO,FREDDO,ACQUA,CUBETTI,CONGELATO,GELO
203,GINOCCHIO,GAMBA,ARTICOLAZIONE,DOLORE,PIEGA,CORPO
204,TAPPO,BOTTIGLIA,CHIUDERE,APRIRE,SUGHERO,CONTENITORE
205,TAPPETO,PAVIMENTO,ARREDAMENTO,MORBIDO,PULIRE,COLORATO
206,NASTRO,REGALO,PACCHETTO,STOFFA,FIOCCO,AVVOLGERE
207,NOCE,FRUTTA,GUSCIO,SECCA,ALBERO,ROMPERE
208,COTONE,MORBIDO,TESSUTO,BIANCO,PIANTA,NATURALE
209,GIOIELLO,PREZIOSO,ORO,DIAMANTE,INDOSSARE,BRILLANTE
210,ONDA,MARE,ACQUA,SURF,MOVIMENTO,SPIAGGIA
211,SUSHI,GIAPPONESE,RISO,PESCE,CRUDO,BACCHETTE
212,FOGLIE,ALBERO,VERDI,AUTUNNO,CADERE,PIANTA
213,RASOIO,BARBA,TAGLIARE,LAME,RASARE,PELI
214,COCCINELLA,INSETTO,ROSSO,PUNTINI,FORTUNA,PICCOLA
215,FOSSILE,ANTICA,DINOSAURO,SCAVO,STORIA,PIETRA
216,CICATRICE,FERITA,PELLE,SEGNO,PERMANENTE,GUARITA
217,POZZANGHERA,ACQUA,PIOGGIA,TERRA,BAGNATA,SALTARE
218,COLLANINA,GIOIELLO,COLLO,CIONDOLO,CATENINA,INDOSSARE
219,CALAMITA,MAGNETE,ATTRAZIONE,FRIGO,FERRO,ATTACCARE
220,SEMAFORO,STRADA,ROSSO,VERDE,TRAFFICO,ATTRAVERSARE
221,LUCCHETTO,CHIUDERE,CHIAVE,SICUREZZA,METALLO,CATENA
222,BAFFI,VISO,UOMO,LABBRO,PELI,RASARE
223,BANANA,FRUTTA,GIALLA,BUCCIA,SCIMMIA,TROPICALE
224,CHITARRA,STRUMENTO,SUONARE,CORDE,MUSICA,ACUSTICA
225,SCATOLA,CONTENITORE,CARTONE,CONSERVARE,REGALO,APRIRE
226,CIAMBELLA,DOLCE,BUCO,GLASSA,ZUCCHERO,CIOCCOLATO
227,ZENZERO,SPEZIA,PICCANTE,RADICE,AROMA,CUCINA
228,FULMINE,TEMPESTA,CIELO,ELETTRICITÀ,LAMPO,TUONO
229,GIGANTE,GRANDE,ENORME,FIABA,ALTEZZA,COLOSSALE
230,NAUFRAGIO,MARE,NAVE,AFFONDARE,ISOLA,SOPRAVVIVERE
231,CACCIAVITE,VITE,AVVITARE,STRUMENTO,MANICO,RIPARARE
232,GREMBIULE,CUCINA,CUCINARE,PROTEGGERE,VESTITI,CHEF
233,PETALO,FIORE,COLORATO,ROSA,DELICATO,SBOCCIARE
234,FONTANA,ACQUA,PIAZZA,ZAMPILLO,MONETE,DESIDERIO
235,CASTELLO,MEDIEVALE,TORRE,NOBILTÀ,FOSSATO,PIETRA
236,VENTILATORE,ESTATE,ARIA,FRESCO,PALE,CALDO
237,NIDO,UCCELLO,UOVA,RAMI,ALBERO,COSTRUIRE
238,CORIANDOLI,FESTA,COLORATI,LANCIARE,CARNEVALE,CARTA
239,OSSO,SCHELETRO,CANE,CORPO,FRATTURA,DURO
240,POMATA,CREMA,APPLICARE,PELLE,FARMACO,TUBO
241,BURATTINO,BAMBOLA,SPETTACOLO,FILI,MARIONETTA,LEGNO
242,CAVALLETTA,INSETTO,SALTARE,VERDE,ZAMPE,PRATO
243,CONFINE,PAESE,NAZIONE,FRONTIERA,PASSAPORTO,DIVIDERE
244,URAGANO,TEMPESTA,VENTO,DEVASTAZIONE,TROPICALE,CICLONE
245,CIMITERO,TOMBE,MORTI,LAPIDI,FUNERALI,DEFUNTI
246,COLTELLO,TAGLIARE,LAMA,CUCINA,AFFILATO,POSATA
247,SALICE,ALBERO,PIANGENTE,RAMI,ACQUA,LUNGO
248,PELLICCIA,ANIMALE,CAPPOTTO,PELO,CALDO,MORBIDA
249,RICCIO,ANIMALE,SPINE,PUNGENTE,PICCOLO,BOSCO
250,CASCATA,ACQUA,CADERE,FIUME,ALTEZZA,NATURA
251,ELICOTTERO,VOLARE,PALE,PILOTA,CIELO,ATTERRAGGIO
252,FUMETTO,DISEGNO,DIALOGO,STORIA,BALLOON,VIGNETTE
253,MUMMIA,EGITTO,BENDE,FARAONE,ANTICA,TOMBA
254,GRATTUGIA,FORMAGGIO,CUCINA,METALLO,BUCHI,SMINUZZARE
255,PIANOFORTE,STRUMENTO,TASTI,MUSICA,SUONARE,BIANCO
256,CORALLO,MARE,BARRIERA,OCEANO,ROSSO,MARINO
257,ACCAPPATOIO,BAGNO,DOCCIA,ASCIUGARE,VESTAGLIA,SPUGNA
258,TROMBA,STRUMENTO,FIATO,OTTONE,SUONARE,JAZZ
259,MIRTILLO,FRUTTO,BOSCO,BLU,PICCOLO,DOLCE
260,AMACA,RIPOSARE,ALBERI,DONDOLARE,RELAX,VACANZA
261,TAPPETINO,YOGA,GINNASTICA,ESERCIZI,PALESTRA,PAVIMENTO
262,DELFINO,MARE,MAMMIFERO,NUOTARE,INTELLIGENTE,ACQUATICO
263,FRANCOBOLLO,LETTERA,POSTA,COLLEZIONE,AFFRANCATURA,RARO
264,STIVALI,PIOGGIA,SCARPE,PIEDI,CALZARE,INVERNO
265,PAGLIACCIO,CIRCO,NASO,ROSSO,TRUCCATO,DIVERTENTE
266,LAVAGNA,SCUOLA,GESSETTO,SCRIVERE,NERA,INSEGNANTE
267,MARMELLATA,DOLCE,FRUTTA,COLAZIONE,BARATTOLO,PANE
268,CORIANDOLO,SPEZIA,CUCINA,SEMI,AROMA,ETNICA
269,PUZZLE,PEZZI,INCASTRO,COMPLETARE,GIOCO,IMMAGINE
270,SCUDO,PROTEGGERE,GUERRIERO,DIFESA,BATTAGLIA,ARMA
271,SCIVOLO,BAMBINI,PARCO,GIOCARE,DISCESA,DIVERTIMENTO
272,GRANCHIO,MARE,CHELE,SABBIA,CAMMINARE,CROSTACEO
273,STAMPELLA,APPENDERE,VESTITI,ABITO,ARMADIO,APPENDIABITI
274,SALVAGENTE,MARE,GALLEGGIARE,PISCINA,SICUREZZA,ANELLO
275,MANDARINO,FRUTTA,AGRUME,BUCCIA,SPICCHI,ARANCIONE
276,BUSSOLA,DIREZIONE,NORD,NAVIGARE,MAGNETICA,ORIENTAMENTO
277,CICALA,INSETTO,ESTATE,RUMORE,CANTO,ALBERO
278,PINGUINO,GHIACCIO,ANTARTICO,BIANCO,NERO,UCCELLO
279,CARTELLA,DOCUMENTI,SCUOLA,CONTENERE,FOGLI,UFFICIO
280,SPECCHIO,RIFLESSO,IMMAGINE,GUARDARE,VETRO,PARETE
281,VERNICE,COLORE,DIPINGERE,MURO,PENNELLO,SECCHIO
282,PIANTANA,LAMPADA,LUCE,SALOTTO,ILLUMINARE,ALTA
283,TOVAGLIA,TAVOLA,COPRIRE,STOFFA,PRANZO,MACCHIA
284,ELEFANTE,GRANDE,TROMBA,ZANNE,ANIMALE,GRIGIO
285,FIONDA,TIRARE,SASSI,ELASTICO,MIRA,LANCIARE
286,LUMACA,LENTA,GUSCIO,BAVA,CORNA,GIARDINO
287,PIUMA,UCCELLO,LEGGERA,PENNA,MORBIDA,VOLATILE
288,PERLE,GIOIELLI,COLLANA,BIANCHE,OSTRICA,PREZIOSE
289,MICROSCOPIO,INGRANDIRE,SCIENZA,LABORATORIO,LENTE,PICCOLO
290,PALLONCINO,GONFIARE,ARIA,COLORATO,FESTA,SCOPPIARE
291,PALCOSCENICO,TEATRO,SPETTACOLO,ATTORI,RECITARE,PUBBLICO
292,CANGURO,AUSTRALIA,SALTARE,MARSUPIO,ANIMALE,CODA
293,PICNIC,PRATO,MANGIARE,APERTO,COPERTA,CESTINO
294,PERGAMENA,ANTICA,SCRIVERE,CARTA,ROTOLO,DIPLOMA
295,PINNE,NUOTARE,MARE,PIEDI,SUBACQUEO,IMMERSIONE
296,GUANTI,MANI,INVERNO,FREDDO,DITA,PROTEGGERE
297,RENNA,NATALE,BABBO,SLITTA,CORNA,POLO
298,MASCHERA,VISO,NASCONDERE,CARNEVALE,COPRIRE,TRAVESTIMENTO
299,LANTERNA,LUCE,BUIO,FIAMMA,ILLUMINARE,CAMPEGGIO
300,VOLPE,FURBA,ROSSA,CODA,ANIMALE,BOSCO
301,MOSAICO,PEZZI,ARTE,TESSERE,COLORATO,IMMAGINE
302,BARCA,MARE,NAVIGARE,VELA,ACQUA,PORTO
303,TROMBONE,STRUMENTO,FIATO,OTTONE,ORCHESTRA,SUONARE
304,GIOSTRA,BAMBINI,GIRARE,CAVALLI,PARCO,DIVERTIMENTO
305,CLESSIDRA,TEMPO,SABBIA,SCORRERE,MISURARE,VETRO
306,SAUNA,CALDO,SUDARE,VAPORE,RELAX,LEGNO
307,DINOSAURO,ESTINTO,PREISTORICO,GRANDE,RETTILE,FOSSILE
308,CAVATAPPI,VINO,APRIRE,BOTTIGLIA,SUGHERO,UTENSILE
309,PARACADUTE,SALTARE,ARIA,CIELO,CADERE,VOLARE
310,VENTOSA,ATTACCARE,ASPIRARE,GOMMA,VUOTO,BAGNO
311,LUCCIOLA,INSETTO,LUCE,NOTTE,BRILLANTE,ESTATE
312,RISAIA,RISO,ACQUA,CAMPO,COLTIVARE,ORIENTE
313,BRIVIDO,FREDDO,PAURA,TREMARE,PELLE,SENSAZIONE
314,TAPPEZZERIA,PARETE,CARTA,DECORARE,CASA,MOTIVO
315,CALAMARO,MARE,TENTACOLI,MOLLUSCO,INCHIOSTRO,PESCE
316,TARTARUGA,LENTA,GUSCIO,RETTILE,LONGEVA,MARE
317,MAPPAMONDO,TERRA,GEOGRAFIA,CONTINENTI,SFERA,GIREVOLE
318,CORIANDOLI,FESTA,COLORATI,LANCIARE,CARTA,CARNEVALE
319,PICCHE,CARTE,GIOCO,SIMBOLO,NERO,POKER
320,PIASTRELLA,BAGNO,PAVIMENTO,CERAMICA,PARETE,RIVESTIMENTO
321,PULSANTE,PREMERE,DISPOSITIVO,ATTIVARE,BOTTONE,DITO
322,RACCHETTA,TENNIS,COLPIRE,PALLINA,SPORT,CAMPO
323,BAGNINO,PISCINA,SALVARE,MARE,SPIAGGIA,SORVEGLIARE
324,CRICETO,RODITORE,GABBIA,PICCOLO,ANIMALE,RUOTA
325,BINOCOLO,GUARDARE,LONTANO,LENTI,INGRANDIRE,OSSERVARE
326,TOSTAPANE,PANE,ELETTRODOMESTICO,FETTE,CALDO,COLAZIONE
327,OASI,DESERTO,ACQUA,PALME,VERDE,RISTORO
328,FOGNA,ACQUA,SCARICO,SOTTERRANEA,TOMBINO,LIQUAMI
329,ARAGOSTA,MARE,CHELE,CROSTACEO,ROSSA,CUCINARE
330,ZUCCA,HALLOWEEN,ARANCIONE,VEGETALE,INTAGLIARE,ORTO
